5,0.7532633241533326,4748,10895.200720553803,14464
10,0.7211585082099573,4776,10430.836662748823,14464
20,0.6969390170706108,4705,10080.525942909315,14464
40,0.6799488728391271,4902,9834.780496745134,14464
60,0.6736695000595003,4892,9743.955648860612,14464
80,0.6700417773690482,4927,9691.484267865913,14464
100,0.66801060086925,4857,9662.105330972832,14464
200,0.664033228919758,4924,9604.57662309538,14464
250,0.6639435685282182,4951,9603.279775192148,14464
300,0.6639054308464675,4888,9602.728151763306,14464
350,0.6639370807588847,5399,9603.185936096508,14464
400,0.6639385019718231,4939,9603.20649252045,14464
425,0.6639389919534767,4899,9603.213579615087,14464
450,0.6639390781993546,4895,9603.214827075464,14464
500,0.6639390844591838,4932,9603.214917617635,14464
